id	name	species	type.0	type.1	height	weight	abilities.0	abilities.1	stats.hp	stats.attack	stats.defense	stats.sp_atk	stats.sp_def	stats.speed	stats.total	evolution.0	evolution.1	evolution.2	description	gen	abilities.2	evolution.3	abilities.3	abilities.4	abilities.5
460	Abomasnow	Frosted Tree Pokemon	Grass	Ice	2.2m	135.5 kg	Snow Warning	Soundproof	90	132	105	132	105	30	594				Description not available yet	4					
063	Abra	Psi Pokemon	Psychic		0.89m	19.5 kg	Inner Focus	Synchronize	25	20	15	105	55	90	310	Abra	Kadabra	Alakazam	Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.	1	Magic Guard				
359	Absol	Disaster Pokemon	Dark		1.2m	47 kg	Pressure	Super Luck	65	150	60	115	60	115	565				Description not available yet	3	Justified				
617	Accelgor	Shell Out Pokemon	Bug		0.8m	25.3 kg	Hydration	Sticky Hold	80	70	40	100	60	145	495				Description not available yet	5	Unburden				
681	Aegislash	Royal Sword Pokemon	Steel	Ghost	1.7m	53 kg	Stance Change		60	150	50	150	50	60	520				Description not available yet	6					
142	Aerodactyl	Fossil Pokemon	Rock	Flying	1.80m	59.0 kg	Pressure	Rock Head	80	105	65	60	75	130	515				A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.	1	Unnerve				
306	Aggron	Iron Armor Pokemon	Steel	Rock	2.1m	360 kg	Sturdy	Rock Head	70	140	230	60	80	50	630				Description not available yet	3	Heavy Metal				
190	Aipom	Long Tail Pokemon	Normal		0.8m	11.5 kg	Run Away	Pickup	55	70	55	40	55	85	360				Description not available yet	2	Skill Link				
065	Alakazam	Psi Pokemon	Psychic		1.50m	48.0 kg	Inner Focus	Synchronize	55	50	45	135	95	120	500	Abra	Kadabra	Alakazam	The spoons clutched in its hands are said to have been created by its psychic powers.	1	Magic Guard				
594	Alomomola	Caring Pokemon	Water		1.2m	31.6 kg	Healer	Hydration	165	75	80	40	45	65	470				Description not available yet	5	Regenerator				
334	Altaria	Humming Pokemon	Dragon	Flying	1.1m	20.6 kg	Natural Cure	Cloud Nine	75	110	110	110	105	80	590				Description not available yet	3					
698	Amaura	Tundra Pokemon	Rock	Ice	1.3m	25.2 kg	Refrigerate	Snow Warning	77	59	50	67	63	46	362				Description not available yet	6					
424	Ambipom	Long Tail Pokemon	Normal		1.2m	20.3 kg	Technician	Pickup	75	100	66	60	66	115	482				Description not available yet	4	Skill Link				
591	Amoonguss	Mushroom Pokemon	Grass	Poison	0.6m	10.5 kg	Effect Spore	Regenerator	114	85	70	85	80	30	464				Description not available yet	5					
181	Ampharos	Light Pokemon	Electric		1.4m	61.5 kg	Static	Plus	90	95	105	165	110	45	610				Description not available yet	2					
347	Anorith	Old Shrimp Pokemon	Rock	Bug	0.7m	12.5 kg	Battle Armor	Swift Swim	45	95	50	40	50	75	355				Description not available yet	3					
752	Araquanid	Water Bubble Pokemon	Water	Bug	1.8m	82 kg	Water Bubble	Water Absorb	68	70	92	50	132	42	454				Description not available yet	7					
024	Arbok	Cobra Pokemon	Poison		3.51m	65.0 kg	Intimidate	Shed Skin	60	85	69	65	79	80	438	Ekans	Arbok		The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.	1	Unnerve				
059	Arcanine	Legendary Pokemon	Fire		1.91m	155.0 kg	Flash Fire	Intimidate	90	110	80	100	80	95	555	Growlithe	Arcanine		The sight of it running over 6,200 miles in a single day and night has captivated many people.	1	Justified				
493	Arceus	Alpha Pokemon	Normal		3.2m	320 kg	Multitype		120	120	120	120	120	120	720				Description not available yet	4					
566	Archen	First Bird Pokemon	Rock	Flying	0.5m	9.5 kg	Defeatist		55	112	45	74	45	70	401				Description not available yet	5					
567	Archeops	First Bird Pokemon	Rock	Flying	1.4m	32 kg	Defeatist		75	140	65	112	65	110	567				Description not available yet	5					
168	Ariados	Long Leg Pokemon	Bug	Poison	1.1m	33.5 kg	Swarm	Insomnia	70	90	70	60	70	40	400				Description not available yet	2	Sniper				
348	Armaldo	Plate Pokemon	Rock	Bug	1.5m	68.2 kg	Battle Armor	Swift Swim	75	125	100	70	80	45	495				Description not available yet	3					
683	Aromatisse	Fragrance Pokemon	Fairy		0.8m	15.5 kg	Healer	Aroma Veil	101	72	72	99	89	29	462				Description not available yet	6					
304	Aron	Iron Armor Pokemon	Steel	Rock	0.4m	60 kg	Sturdy	Rock Head	50	70	100	40	40	30	330				Description not available yet	3	Heavy Metal				
144	Articuno	Freeze Pokemon	Ice	Flying	1.70m	55.4 kg	Pressure	Snow Cloak	90	85	100	95	125	85	580				A legendary bird Pokemon. It can create blizzards by freezing moisture in the air.	1					
531	Audino	Hearing Pokemon	Normal		1.1m	31 kg	Healer	Regenerator	103	60	126	80	126	50	545				Description not available yet	5	Klutz				
699	Aurorus	Tundra Pokemon	Rock	Ice	2.7m	225 kg	Refrigerate	Snow Warning	123	77	72	99	92	58	521				Description not available yet	6					
713	Avalugg	Iceberg Pokemon	Ice		2m	505 kg	Own Tempo	Ice Body	95	117	184	44	46	28	514				Description not available yet	6	Sturdy				
610	Axew	Tusk Pokemon	Dragon		0.6m	18 kg	Rivalry	Mold Breaker	46	87	60	30	40	57	320				Description not available yet	5	Unnerve				
482	Azelf	Willpower Pokemon	Psychic		0.3m	0.3 kg	Levitate		75	125	70	125	70	115	580				Description not available yet	4					
184	Azumarill	Aquarabbit Pokemon	Water	Fairy	0.8m	28.5 kg	Thick Fat	Huge Power	100	50	80	60	80	50	420				Description not available yet	2	Sap Sipper				
298	Azurill	Polka Dot Pokemon	Normal	Fairy	0.2m	2 kg	Thick Fat	Huge Power	50	20	40	20	40	20	190				Description not available yet	3	Sap Sipper				
371	Bagon	Rock Head Pokemon	Dragon		0.6m	42.1 kg	Rock Head	Sheer Force	45	75	60	40	30	50	300				Description not available yet	3					
343	Baltoy	Clay Doll Pokemon	Ground	Psychic	0.5m	21.5 kg	Levitate		40	40	55	40	70	55	300				Description not available yet	3					
354	Banette	Marionette Pokemon	Ghost		1.1m	12.5 kg	Insomnia	Frisk	64	165	75	93	83	75	555				Description not available yet	3	Cursed Body				
689	Barbaracle	Collective Pokemon	Rock	Water	1.3m	96 kg	Tough Claws	Sniper	72	105	115	54	86	68	500				Description not available yet	6	Pickpocket				
339	Barboach	Whiskers Pokemon	Water	Ground	0.4m	1.9 kg	Oblivious	Anticipation	50	48	43	46	41	60	288				Description not available yet	3	Hydration				
550	Basculin	Hostile Pokemon	Water		1m	18 kg	Reckless	Rock Head	70	92	65	80	55	98	460				Description not available yet	5	Adaptability		Mold Breaker		
411	Bastiodon	Shield Pokemon	Rock	Steel	1.3m	149.5 kg	Sturdy	Soundproof	60	52	168	47	138	30	495				Description not available yet	4					
153	Bayleef	Leaf Pokemon	Grass		1.2m	15.8 kg	Overgrow	Leaf Guard	60	62	80	63	80	60	405				Description not available yet	2					
614	Beartic	Freezing Pokemon	Ice		2.6m	260 kg	Snow Cloak	Slush Rush	95	130	80	70	80	50	505				Description not available yet	5	Swift Swim				
267	Beautifly	Butterfly Pokemon	Bug	Flying	1m	28.4 kg	Swarm	Rivalry	60	70	50	100	50	65	395				Description not available yet	3					
015	Beedrill	Poison Bee Pokemon	Bug	Poison	0.99m	29.5 kg	Swarm	Sniper	65	90	40	45	80	75	395	Weedle	Kakuna	Beedrill	Its best attack involves flying around at high speed, striking with poison needles, then flying off.	1					
606	Beheeyem	Cerebral Pokemon	Psychic		1m	34.5 kg	Telepathy	Synchronize	75	75	75	125	95	40	485				Description not available yet	5	Analytic				
374	Beldum	Iron Ball Pokemon	Steel	Psychic	0.6m	95.2 kg	Clear Body	Light Metal	40	55	80	35	60	30	300				Description not available yet	3					
182	Bellossom	Flower Pokemon	Grass		0.4m	5.8 kg	Chlorophyll	Healer	75	80	95	90	100	50	490				Description not available yet	2					
069	Bellsprout	Flower Pokemon	Grass	Poison	0.71m	4.0 kg	Chlorophyll	Gluttony	50	75	35	70	30	40	300	Bellsprout	Weepinbell	Victreebel	It prefers hot and humid environments. It is quick at capturing prey with its vines.	1					
712	Bergmite	Ice Chunk Pokemon	Ice		1m	99.5 kg	Own Tempo	Ice Body	55	69	85	32	35	28	304				Description not available yet	6	Sturdy				
760	Bewear	Strong Arm Pokemon	Normal	Fighting	2.1m	135 kg	Fluffy	Klutz	120	125	80	55	60	60	500				Description not available yet	7	Unnerve				
400	Bibarel	Beaver Pokemon	Normal	Water	1m	31.5 kg	Simple	Unaware	79	85	60	55	60	71	410				Description not available yet	4	Moody				
399	Bidoof	Plump Mouse Pokemon	Normal		0.5m	20 kg	Simple	Unaware	59	45	40	35	40	31	250				Description not available yet	4	Moody				
688	Binacle	Two-Handed Pokemon	Rock	Water	0.5m	31 kg	Tough Claws	Sniper	42	52	67	39	56	50	306				Description not available yet	6	Pickpocket				
625	Bisharp	Sword Blade Pokemon	Dark	Steel	1.6m	70 kg	Defiant	Inner Focus	65	125	100	60	70	70	490				Description not available yet	5	Pressure				
009	Blastoise	Shellfish Pokemon	Water		1.60m	85.5 kg	Torrent	Rain Dish	79	83	100	85	105	78	530	Squirtle	Wartortle	Blastoise	The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.	1					
257	Blaziken	Blaze Pokemon	Fire	Fighting	1.9m	52 kg	Blaze	Speed Boost	80	160	80	130	80	100	630				Description not available yet	3					
242	Blissey	Happiness Pokemon	Normal		1.5m	46.8 kg	Natural Cure	Serene Grace	255	10	10	75	135	55	540				Description not available yet	2	Healer				
522	Blitzle	Electrified Pokemon	Electric		0.8m	29.8 kg	Lightningrod	Motor Drive	45	60	32	50	32	76	295				Description not available yet	5	Sap Sipper				
525	Boldore	Ore Pokemon	Rock		0.9m	102 kg	Sturdy	Weak Armor	70	105	105	50	40	20	390				Description not available yet	5	Sand Force				
438	Bonsly	Bonsai Pokemon	Rock		0.5m	15 kg	Sturdy	Rock Head	50	80	95	10	45	10	290				Description not available yet	4	Rattled				
626	Bouffalant	Bash Buffalo Pokemon	Normal		1.6m	94.6 kg	Reckless	Sap Sipper	95	110	95	40	95	55	490				Description not available yet	5	Soundproof				
761	Bounsweet	Fruit Pokemon	Grass		0.3m	3.2 kg	Leaf Guard	Oblivious	42	30	38	30	38	32	210				Description not available yet	7	Sweet Veil				
654	Braixen	Fox Pokemon	Fire		1m	14.5 kg	Blaze	Magician	59	59	58	90	70	73	409				Description not available yet	6					
628	Braviary	Valiant Pokemon	Normal	Flying	1.5m	41 kg	Keen Eye	Sheer Force	100	123	75	57	75	80	510				Description not available yet	5	Defiant				
286	Breloom	Mushroom Pokemon	Grass	Fighting	1.2m	39.2 kg	Effect Spore	Poison Heal	60	130	80	60	60	70	460				Description not available yet	3	Technician				
729	Brionne	Pop Star Pokemon	Water		0.6m	17.5 kg	Torrent	Liquid Voice	60	69	69	91	81	50	420				Description not available yet	7					
437	Bronzong	Bronze Bell Pokemon	Steel	Psychic	1.3m	187 kg	Levitate	Heatproof	67	89	116	79	116	33	500				Description not available yet	4	Heavy Metal				
436	Bronzor	Bronze Pokemon	Steel	Psychic	0.5m	60.5 kg	Levitate	Heatproof	57	24	86	24	86	23	300				Description not available yet	4	Heavy Metal				
779	Bruxish	Gnash Teeth Pokemon	Water	Psychic	0.9m	19 kg	Dazzling	Strong Jaw	68	105	70	70	70	92	475				Description not available yet	7	Wonder Skin 				
406	Budew	Bud Pokemon	Grass	Poison	0.2m	1.2 kg	Natural Cure	Poison Point	40	30	35	50	70	55	280				Description not available yet	4	Leaf Guard				
418	Buizel	Sea Weasel Pokemon	Water		0.7m	29.5 kg	Swift Swim	Water Veil	55	65	35	60	30	85	330				Description not available yet	4					
