dma,single_genres,views_count
Wilkes Barre-Scranton-Hztn,News,1236131
Wilkes Barre-Scranton-Hztn,Reality,1155820
Wilkes Barre-Scranton-Hztn,Sitcom,684124
Wilkes Barre-Scranton-Hztn,Talk,643980
Wilkes Barre-Scranton-Hztn,Comedy,603677
Wilkes Barre-Scranton-Hztn,Crime drama,590688
Wilkes Barre-Scranton-Hztn,Drama,558360
Wilkes Barre-Scranton-Hztn,Children,526718
Wilkes Barre-Scranton-Hztn,Action,520320
Wilkes Barre-Scranton-Hztn,Documentary,497372
Wilkes Barre-Scranton-Hztn,Adventure,480076
Wilkes Barre-Scranton-Hztn,Sports event,476453
Wilkes Barre-Scranton-Hztn,Animated,450105
Wilkes Barre-Scranton-Hztn,Sports non-event,395002
Wilkes Barre-Scranton-Hztn,Mystery,319276
Wilkes Barre-Scranton-Hztn,Fantasy,289257
Wilkes Barre-Scranton-Hztn,Suspense,280866
Wilkes Barre-Scranton-Hztn,Football,278757
Wilkes Barre-Scranton-Hztn,Music,251370
Wilkes Barre-Scranton-Hztn,Shopping,233949
Wilkes Barre-Scranton-Hztn,Special,228523
Wilkes Barre-Scranton-Hztn,Sports talk,209033
Wilkes Barre-Scranton-Hztn,Crime,208569
Wilkes Barre-Scranton-Hztn,House/garden,202239
Wilkes Barre-Scranton-Hztn,Entertainment,190862
Wilkes Barre-Scranton-Hztn,Consumer,169105
Wilkes Barre-Scranton-Hztn,Cooking,157137
Wilkes Barre-Scranton-Hztn,Science fiction,155014
Wilkes Barre-Scranton-Hztn,Baseball,152077
Wilkes Barre-Scranton-Hztn,Game show,151159
Wilkes Barre-Scranton-Hztn,Educational,138281
Wilkes Barre-Scranton-Hztn,Newsmagazine,135919
Wilkes Barre-Scranton-Hztn,Horror,126722
Wilkes Barre-Scranton-Hztn,Public affairs,125244
Wilkes Barre-Scranton-Hztn,Law,123999
Wilkes Barre-Scranton-Hztn,Interview,121674
Wilkes Barre-Scranton-Hztn,Politics,111299
Wilkes Barre-Scranton-Hztn,History,111218
Wilkes Barre-Scranton-Hztn,Weather,106264
Wilkes Barre-Scranton-Hztn,Outdoors,104805
Wilkes Barre-Scranton-Hztn,Home improvement,100524
Wilkes Barre-Scranton-Hztn,Travel,99282
Wilkes Barre-Scranton-Hztn,Religious,94881
Wilkes Barre-Scranton-Hztn,Western,92976
Wilkes Barre-Scranton-Hztn,Romance,89895
Wilkes Barre-Scranton-Hztn,Basketball,85322
Wilkes Barre-Scranton-Hztn,Playoff sports,81413
Wilkes Barre-Scranton-Hztn,Medical,77166
Wilkes Barre-Scranton-Hztn,Animals,72827
Wilkes Barre-Scranton-Hztn,Science,71398
Wilkes Barre-Scranton-Hztn,Variety,71378
Wilkes Barre-Scranton-Hztn,Bus./financial,70141
Wilkes Barre-Scranton-Hztn,Paranormal,69996
Wilkes Barre-Scranton-Hztn,Romance-comedy,62266
Wilkes Barre-Scranton-Hztn,Comedy-drama,59126
Wilkes Barre-Scranton-Hztn,Auto,58981
Wilkes Barre-Scranton-Hztn,Community,58818
Wilkes Barre-Scranton-Hztn,How-to,58795
Wilkes Barre-Scranton-Hztn,Nature,58431
Wilkes Barre-Scranton-Hztn,War,53315
Wilkes Barre-Scranton-Hztn,Soap,47317
Wilkes Barre-Scranton-Hztn,Fashion,46344
Wilkes Barre-Scranton-Hztn,Health,44433
Wilkes Barre-Scranton-Hztn,Auto racing,42668
Wilkes Barre-Scranton-Hztn,Docudrama,36599
Wilkes Barre-Scranton-Hztn,Golf,36246
Wilkes Barre-Scranton-Hztn,Biography,31065
Wilkes Barre-Scranton-Hztn,Pro wrestling,27130
Wilkes Barre-Scranton-Hztn,Hunting,26103
Wilkes Barre-Scranton-Hztn,Musical,26102
Wilkes Barre-Scranton-Hztn,Tennis,25895
Wilkes Barre-Scranton-Hztn,Dance,25363
Wilkes Barre-Scranton-Hztn,Hockey,25013
Wilkes Barre-Scranton-Hztn,Historical drama,24708
Wilkes Barre-Scranton-Hztn,Soccer,21788
Wilkes Barre-Scranton-Hztn,Collectibles,20486
Wilkes Barre-Scranton-Hztn,Anthology,20210
Wilkes Barre-Scranton-Hztn,Adults only,19610
Wilkes Barre-Scranton-Hztn,Auction,19361
Wilkes Barre-Scranton-Hztn,Mixed martial arts,14992
Wilkes Barre-Scranton-Hztn,Musical comedy,14038
Wilkes Barre-Scranton-Hztn,Fishing,13635
Wilkes Barre-Scranton-Hztn,Art,11656
Wilkes Barre-Scranton-Hztn,Awards,11468
Wilkes Barre-Scranton-Hztn,Technology,10393
Wilkes Barre-Scranton-Hztn,Military,10002
Wilkes Barre-Scranton-Hztn,Martial arts,8598
Wilkes Barre-Scranton-Hztn,Parenting,8352
Wilkes Barre-Scranton-Hztn,Boxing,8328
Wilkes Barre-Scranton-Hztn,Spanish,7970
Wilkes Barre-Scranton-Hztn,Horse,7508
Wilkes Barre-Scranton-Hztn,Standup,7282
Wilkes Barre-Scranton-Hztn,Action sports,7165
Wilkes Barre-Scranton-Hztn,Aviation,6561
Wilkes Barre-Scranton-Hztn,Softball,5517
Wilkes Barre-Scranton-Hztn,Debate,4223
Wilkes Barre-Scranton-Hztn,Music special,4007
Wilkes Barre-Scranton-Hztn,Environment,3761
Wilkes Barre-Scranton-Hztn,Fundraiser,3740
Wilkes Barre-Scranton-Hztn,Poker,3645
Wilkes Barre-Scranton-Hztn,Parade,3632
Wilkes Barre-Scranton-Hztn,Anime,3602
Wilkes Barre-Scranton-Hztn,Card games,3491
Wilkes Barre-Scranton-Hztn,Shooting,3293
Wilkes Barre-Scranton-Hztn,Event,3236
Wilkes Barre-Scranton-Hztn,Agriculture,2811
Wilkes Barre-Scranton-Hztn,Self improvement,2733
Wilkes Barre-Scranton-Hztn,Miniseries,2348
Wilkes Barre-Scranton-Hztn,Cheerleading,2058
Wilkes Barre-Scranton-Hztn,Gaming,2015
Wilkes Barre-Scranton-Hztn,Figure skating,1869
Wilkes Barre-Scranton-Hztn,Wrestling,1849
Wilkes Barre-Scranton-Hztn,Computers,1783
Wilkes Barre-Scranton-Hztn,Exercise,1738
Wilkes Barre-Scranton-Hztn,Motorcycle racing,1661
Wilkes Barre-Scranton-Hztn,Bicycle racing,1642
Wilkes Barre-Scranton-Hztn,Arts/crafts,1360
Wilkes Barre-Scranton-Hztn,Volleyball,1344
Wilkes Barre-Scranton-Hztn,Skiing,1276
Wilkes Barre-Scranton-Hztn,Drag racing,1267
Wilkes Barre-Scranton-Hztn,Rodeo,1167
Wilkes Barre-Scranton-Hztn,Archery,1151
Wilkes Barre-Scranton-Hztn,Motorcycle,1102
Wilkes Barre-Scranton-Hztn,Track/field,1033
Wilkes Barre-Scranton-Hztn,Gymnastics,1011
Wilkes Barre-Scranton-Hztn,Dog show,935
Wilkes Barre-Scranton-Hztn,Motorsports,922
Wilkes Barre-Scranton-Hztn,Running,880
Wilkes Barre-Scranton-Hztn,Gay/lesbian,795
Wilkes Barre-Scranton-Hztn,Equestrian,785
Wilkes Barre-Scranton-Hztn,Snowboarding,702
Wilkes Barre-Scranton-Hztn,Bowling,690
Wilkes Barre-Scranton-Hztn,Lacrosse,552
Wilkes Barre-Scranton-Hztn,Performing arts,476
Wilkes Barre-Scranton-Hztn,Rugby,475
Wilkes Barre-Scranton-Hztn,Boat,453
Wilkes Barre-Scranton-Hztn,Holiday,453
Wilkes Barre-Scranton-Hztn,Arm wrestling,439
Wilkes Barre-Scranton-Hztn,Snowmobile,396
Wilkes Barre-Scranton-Hztn,Swimming,386
Wilkes Barre-Scranton-Hztn,Diving,386
Wilkes Barre-Scranton-Hztn,Intl soccer,318
Wilkes Barre-Scranton-Hztn,Surfing,293
Wilkes Barre-Scranton-Hztn,Yacht racing,271
Wilkes Barre-Scranton-Hztn,Weightlifting,265
Wilkes Barre-Scranton-Hztn,Kayaking,237
Wilkes Barre-Scranton-Hztn,Skateboarding,236
Wilkes Barre-Scranton-Hztn,Watersports,219
Wilkes Barre-Scranton-Hztn,Pool,214
Wilkes Barre-Scranton-Hztn,Olympics,204
Wilkes Barre-Scranton-Hztn,Field hockey,186
Wilkes Barre-Scranton-Hztn,Mountain biking,185
Wilkes Barre-Scranton-Hztn,Beach volleyball,177
Wilkes Barre-Scranton-Hztn,Triathlon,169
Wilkes Barre-Scranton-Hztn,Billiards,159
Wilkes Barre-Scranton-Hztn,Holiday special,154
Wilkes Barre-Scranton-Hztn,Racquet,125
Wilkes Barre-Scranton-Hztn,Squash,105
Wilkes Barre-Scranton-Hztn,Sailing,100
Wilkes Barre-Scranton-Hztn,Curling,83
Wilkes Barre-Scranton-Hztn,Beach soccer,81
Wilkes Barre-Scranton-Hztn,Dog racing,79
Wilkes Barre-Scranton-Hztn,Water polo,70
Wilkes Barre-Scranton-Hztn,Boat racing,56
Wilkes Barre-Scranton-Hztn,Bicycle,35
Wilkes Barre-Scranton-Hztn,Luge,33
Wilkes Barre-Scranton-Hztn,Cricket,30
Wilkes Barre-Scranton-Hztn,Darts,23
