dma,wealth_score,genres_list
San Antonio,1.623931623931624,[]
Baltimore,1.323423017384553,"[""News"",""Reality"",""Talk"",""Comedy"",""Sitcom"",""Drama"",""Sports event"",""Documentary""]"
Detroit,1.310195919188455,"[""Sports non-event"",""Adventure"",""Action"",""Crime drama"",""House/garden"",""Suspense"",""Children"",""Entertainment""]"
Austin,1.2711323615888497,"[""Animated"",""Football"",""Crime"",""Fantasy"",""Newsmagazine"",""Mystery"",""Consumer"",""Special""]"
Sacramnto-Stkton-Modesto,1.2668983216070457,"[""Music"",""Shopping"",""Law"",""Cooking"",""Science fiction"",""Game show"",""Interview"",""Sports talk""]"
San Francisco-Oak-San Jose,1.2523400679268373,"[""Educational"",""Basketball"",""Western"",""Animals"",""Spanish"",""Travel"",""Nature"",""Outdoors""]"
Seattle-Tacoma,1.2461203339681173,"[""Auto"",""Soap"",""Fashion"",""Docudrama"",""Soccer"",""Historical drama"",""Anthology"",""Biography""]"
Cleveland-Akron (Canton),1.219783174336312,"[""Military"",""Awards"",""Aviation"",""Poker"",""Card games"",""Softball"",""Boxing"",""Martial arts""]"
Toledo,1.208659916433023,"[""History"",""Home improvement"",""Baseball"",""Horror"",""Playoff sports"",""Politics"",""Science"",""Paranormal""]"
Harrisburg-Lncstr-Leb-York,1.2079220508100939,"[""Public affairs"",""Weather"",""Bus./financial"",""Auto racing"",""Romance"",""Medical"",""Hockey"",""Golf""]"
Philadelphia,1.205012520599199,"[""Romance-comedy"",""Variety"",""War"",""Community"",""How-to"",""Religious"",""Health"",""Comedy-drama""]"
Lexington,1.1977755217465422,"[""Adults only"",""Horse"",""Tennis"",""Auction"",""Musical"",""Collectibles"",""Hunting"",""Dance""]"
Houston,1.1913376528875275,"[""Bicycle racing"",""Wrestling"",""Track/field"",""Gymnastics"",""Gay/lesbian"",""Fundraiser"",""Dog show"",""Bowling""]"
"Portland, OR",1.1353253977210136,"[""Mixed martial arts"",""Art"",""Fishing"",""Pro wrestling"",""Musical comedy"",""Parenting"",""Action sports"",""Technology""]"
"Washington, DC (Hagrstwn)",1.1144216105587266,"[""Standup"",""Debate"",""Agriculture"",""Arts/crafts"",""Anime"",""Self improvement"",""Event"",""Exercise""]"
Augusta-Aiken,1.1128715077227525,[]
Atlanta,1.1111980389237475,"[""Environment"",""Parade"",""Shooting"",""Rodeo"",""Equestrian"",""Figure skating"",""Motorcycle racing"",""Skiing""]"
Little Rock-Pine Bluff,1.082137552102464,"[""Surfing"",""Holiday"",""Water polo"",""Snowmobile"",""Kayaking"",""Children-special"",""Yacht racing"",""Beach soccer""]"
Sioux Falls(Mitchell),1.073030643581126,"[""Cheerleading"",""Gaming"",""Archery"",""Volleyball"",""Motorcycle"",""Motorsports"",""Miniseries"",""Drag racing""]"
Miami-Ft. Lauderdale,1.06682853472421,"[""Boat"",""Bullfighting"",""Swimming"",""Performing arts"",""Rugby"",""Beach volleyball"",""Intl soccer"",""Triathlon""]"
